id,notification_type,message,is_read,created_at,from_user_id,post_id,reply_id,user_id
438,like,Shimpy liked your reply,f,2026-04-09 05:56:13.240404+00,32,117,50,51
439,like,Shimpy liked your reply,f,2026-04-09 05:56:16.493209+00,32,117,51,50
440,like,Shimpy liked your reply,f,2026-04-09 05:56:18.478375+00,32,117,52,50
441,like,Shimpy liked your post,f,2026-04-09 05:56:34.048729+00,32,79,,39
442,like,Shimpy liked your reply,f,2026-04-09 05:56:35.991745+00,32,79,35,45
443,like,Shimpy liked your reply,f,2026-04-09 05:56:39.933366+00,32,79,59,37
444,like,Shimpy liked your post,f,2026-04-09 05:57:09.44449+00,32,125,,54
445,like,Shimpy liked your reply,f,2026-04-09 05:57:11.314016+00,32,125,60,57
446,like,Shimpy liked your post,f,2026-04-09 05:57:30.091771+00,32,114,,41
447,like,Shimpy liked your reply,f,2026-04-09 05:57:32.115422+00,32,114,30,45
448,like,Asha liked your post,f,2026-04-10 03:55:54.173104+00,80,125,,54
449,like,Asha liked your reply,f,2026-04-10 03:55:56.376265+00,80,125,60,57
450,like,Shimpy liked your post,f,2026-04-10 05:16:46.454995+00,32,135,,80
451,like,Asha liked your post,f,2026-04-10 08:42:47.098716+00,80,131,,68
452,like,Asha liked your post,f,2026-04-11 03:55:39.907139+00,80,137,,78
453,reply,Asha replied to your post,f,2026-04-11 03:58:42.461312+00,80,137,62,78
454,like,Asha liked your post,f,2026-04-11 04:00:23.946269+00,80,136,,64
455,reply,Asha replied to your post,f,2026-04-11 04:01:08.795763+00,80,136,63,64
456,like,satija liked your post,f,2026-04-11 13:54:12.128179+00,30,134,,32
